"","ID","r1","r2","r3","r4","r5","Sum"
"1",154,40.889,12.729,6.201,4.84,2.202,66.86
"2",155,44.69,18.41,7.763,6.535,5.518,82.915
"3",156,34.564,15.421,6.07,3.1,3.422,62.578
"4",160,51.398,22.401,11.747,4.472,3.614,93.632
"5",161,32.239,14.252,6.764,5.218,4.086,62.56
"6",165,38.873,15.103,7.261,4.463,2.282,67.983
"7",166,39.99,12.732,6.274,3.536,2.383,64.914
"8",170,30.908,11.78,5.171,3.108,3.599,54.565
"9",171,40.295,12.542,5.73,2.548,1.716,62.83
"10",176,39.756,10.31,7.188,2.779,1.55,61.583
"11",181,35.092,12.497,6.077,4.447,2.401,60.514
"12",182,45.229,21.402,5.28,3.988,2.379,78.277
"13",183,44.22,18.125,5.199,3.79,1.92,73.254
"14",184,30.573,13.452,6.142,4.3,2.799,57.266
"15",185,37.582,14.075,5.325,4.619,2.016,63.617
"17",23,39.289,14.345,7.386,3.368,0.409,64.797
"18",24,27.245,14.776,3.236,2.277,4.037,51.571
"19",25,18.533,8.162,3.44,1.355,2.836,34.326
"20",26,38.521,12.378,3.97,2.704,3.316,60.889
"21",27,32.34,8.314,4.618,2.462,3.142,50.876
"22",28,40.358,8.017,3.029,2.031,0.434,53.869
"23",29,34.469,8.667,5.909,3.303,2.622,54.971
"24",30,37.131,16.44,9.213,4.599,6.166,73.549
"25",31,37.018,10.189,2.989,2.385,3.566,56.147
"26",32,42.748,9.458,5.722,4.917,3.72,66.566
"27",33,46.733,13.55,2.623,2.432,1.487,66.825
"28",34,38.837,7.788,4.18,2.813,3.216,56.833
"29",35,33.95,12.523,5.062,4.297,4.177,60.008
"30",36,35.201,7.555,3.798,2.243,2.529,51.327
"31",37,33.3,14.354,7.964,3.594,5.921,65.133
